movie_id,cast_size,cast_member_list,cast_1,cast_2,cast_3,cast_4,cast_5
62211,24,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Noah Johnston']",Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Noah Johnston
8373,37,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Rainn Wilson', 'Tyrese Gibson']",Shia LaBeouf,Megan Fox,Josh Duhamel,Rainn Wilson,Tyrese Gibson
91314,41,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor']",Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Nicola Peltz,Jack Reynor
68728,159,"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff']",James Franco,Mila Kunis,Rachel Weisz,Michelle Williams,Zach Braff
102382,65,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Campbell Scott']",Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Campbell Scott
20526,23,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'Yaya DaCosta']",Garrett Hedlund,Jeff Bridges,Olivia Wilde,Bruce Boxleitner,Yaya DaCosta
49013,47,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro']",Owen Wilson,Larry the Cable Guy,Michael Caine,Emily Mortimer,John Turturro
44912,23,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Tim Robbins', 'Mark Strong']",Ryan Reynolds,Blake Lively,Peter Sarsgaard,Tim Robbins,Mark Strong
10193,45,"['Tom Hanks', 'Tim Allen', 'Ned Beatty', 'Joan Cusack', 'Michael Keaton']",Tom Hanks,Tim Allen,Ned Beatty,Joan Cusack,Michael Keaton
534,15,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood', 'Bryce Dallas Howard']",Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Bryce Dallas Howard
168259,52,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson']",Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Tyrese Gibson
72190,22,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove', 'Sterling Jerins', 'James Badge Dale']",Brad Pitt,Mireille Enos,Abigail Hargrove,Sterling Jerins,James Badge Dale
127585,65,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry']",Hugh Jackman,James McAvoy,Michael Fassbender,Jennifer Lawrence,Halle Berry
54138,98,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Simon Pegg']",Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,Simon Pegg
81005,23,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor', 'Stanley Tucci', 'Ian McShane']",Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Stanley Tucci,Ian McShane
64682,31,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Elizabeth Debicki']",Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Joel Edgerton,Elizabeth Debicki
9543,13,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint']",Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint
68726,43,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day', 'Ron Perlman', 'Burn Gorman']",Idris Elba,Charlie Hunnam,Charlie Day,Ron Perlman,Burn Gorman
38356,39,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong', 'Frances McDormand', 'Josh Duhamel']",Shia LaBeouf,John Malkovich,Ken Jeong,Frances McDormand,Josh Duhamel
217,38,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Ray Winstone', 'Karen Allen']",Harrison Ford,Cate Blanchett,Shia LaBeouf,Ray Winstone,Karen Allen
105864,19,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']",Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla
62177,15,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly', 'Emma Thompson', 'Kevin McKidd']",Kelly Macdonald,Julie Walters,Billy Connolly,Emma Thompson,Kevin McKidd
188927,33,"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Simon Pegg', 'Zoe Saldana']",Chris Pine,Zachary Quinto,Karl Urban,Simon Pegg,Zoe Saldana
10681,29,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger']",Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,John Ratzenberger
5174,18,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal']",Chris Tucker,Jackie Chan,Hiroyuki Sanada,Max von Sydow,Yvan Attal
14161,52,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor', 'Thandie Newton', 'Oliver Platt']",John Cusack,Amanda Peet,Chiwetel Ejiofor,Thandie Newton,Oliver Platt
17979,18,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine', 'Daryl Sabara', 'Sage Ryan']",Gary Oldman,Jim Carrey,Steve Valentine,Daryl Sabara,Sage Ryan
76757,66,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']",Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth
258489,34,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz', 'Samuel L. Jackson', 'Djimon Hounsou']",Alexander Skarsgård,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou
411,24,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Liam Neeson']",William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Liam Neeson
246655,95,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac']",James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Oscar Isaac
155,134,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']",Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal
14160,16,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo']",Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo
15512,28,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie', 'Paul Rudd', 'Kiefer Sutherland']",Seth Rogen,Reese Witherspoon,Hugh Laurie,Paul Rudd,Kiefer Sutherland
1726,87,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Robert Downey Jr.,Terrence Howard,Jeff Bridges,Shaun Toub,Gwyneth Paltrow
44826,28,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone']",Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Chloë Grace Moretz,Ray Winstone
8487,29,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek', 'M. Emmet Walsh']",Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,M. Emmet Walsh
1735,15,"['Brendan Fraser', 'Jet Li', 'John Hannah', 'Maria Bello', 'Luke Ford']",Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford
297761,128,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jared Leto']",Will Smith,Margot Robbie,Joel Kinnaman,Viola Davis,Jared Leto
2698,18,"['Steve Carell', 'Lauren Graham', 'John Goodman', 'Jimmy Bennett', 'John Michael Higgins']",Steve Carell,Lauren Graham,John Goodman,Jimmy Bennett,John Michael Higgins
137113,40,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson', 'Bill Paxton', 'Jonas Armstrong']",Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong
9804,15,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles', 'R. D. Call', 'Zitto Kazann']",Kevin Costner,Chaim Girafi,Rick Aviles,R. D. Call,Zitto Kazann
14869,23,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans', 'Sienna Miller', 'Joseph Gordon-Levitt']",Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt
150540,65,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']",Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black
278927,30,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba', 'Scarlett Johansson']",Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,Scarlett Johansson
10138,115,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Mickey Rourke']",Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Mickey Rourke
58595,36,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Ian McShane']",Kristen Stewart,Charlize Theron,Chris Hemsworth,Sam Claflin,Ian McShane
102651,82,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Sam Riley', 'Juno Temple']",Angelina Jolie,Elle Fanning,Sharlto Copley,Sam Riley,Juno Temple
119450,33,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell']",Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell
79698,19,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton', 'Alice Englert', 'Bipasha Basu']",Josh Hartnett,Simone Kessell,Tamsin Egerton,Alice Englert,Bipasha Basu
64686,24,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki', 'Tadanobu Asano', 'Min Tanaka']",Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Min Tanaka
100402,70,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan']",Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Sebastian Stan
10192,35,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews']",Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews
158852,52,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Thomas Robinson', 'Hugh Laurie']",Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie
177572,46,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung']",Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung
82690,66,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk']",John C. Reilly,Sarah Silverman,Jack McBrayer,Jane Lynch,Alan Tudyk
5255,10,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye', 'Peter Scolari', 'Eddie Deezen']",Tom Hanks,Michael Jeter,Nona Gaye,Peter Scolari,Eddie Deezen
47933,67,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe', 'Sela Ward']",Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward
10191,13,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill']",Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill
296,14,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken', 'David Andrews']",Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken,David Andrews
118340,80,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper']",Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper
157336,36,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway', 'Michael Caine', 'Casey Affleck']",Matthew McConaughey,Jessica Chastain,Anne Hathaway,Michael Caine,Casey Affleck
27205,29,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe']",Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe
315011,49,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara', 'Kengo Kora', 'Matsuo Satoru']",Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara,Kengo Kora,Matsuo Satoru
49051,30,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Andy Serkis', 'Cate Blanchett']",Ian McKellen,Martin Freeman,Richard Armitage,Andy Serkis,Cate Blanchett
9799,30,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']",Paul Walker,Vin Diesel,Michelle Rodriguez,Jordana Brewster,Rick Yune
4922,37,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton', 'Julia Ormond', 'Elle Fanning']",Cate Blanchett,Brad Pitt,Tilda Swinton,Julia Ormond,Elle Fanning
49538,41,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon', 'Rose Byrne']",James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Rose Byrne
131634,51,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks
27022,14,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci', 'Alfred Molina', 'Teresa Palmer']",Nicolas Cage,Jay Baruchel,Monica Bellucci,Alfred Molina,Teresa Palmer
503,14,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas', 'Jacinda Barrett', 'Emmy Rossum']",Kurt Russell,Richard Dreyfuss,Josh Lucas,Jacinda Barrett,Emmy Rossum
241259,98,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman']",Johnny Depp,Mia Wasikowska,Anne Hathaway,Helena Bonham Carter,Alan Rickman
810,41,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas']",Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,Antonio Banderas
68735,47,"['Paula Patton', 'Travis Fimmel', 'Ben Foster', 'Robert Kazinsky', 'Dominic Cooper']",Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky,Dominic Cooper
87101,32,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons']",Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons
10140,19,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg', 'Gary Sweet', 'Arthur Angel']",Skandar Keynes,Georgie Henley,Simon Pegg,Gary Sweet,Arthur Angel
676,101,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale', 'Cuba Gooding Jr.', 'Jon Voight']",Ben Affleck,Josh Hartnett,Kate Beckinsale,Cuba Gooding Jr.,Jon Voight
1858,38,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox', 'Rachael Taylor', 'Tyrese Gibson']",Shia LaBeouf,Josh Duhamel,Megan Fox,Rachael Taylor,Tyrese Gibson
1966,51,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer', 'Jared Leto', 'Jonathan Rhys Meyers']",Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto,Jonathan Rhys Meyers
675,80,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Michael Gambon', 'Ralph Fiennes']",Daniel Radcliffe,Rupert Grint,Emma Watson,Michael Gambon,Ralph Fiennes
674,65,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Ralph Fiennes', 'Michael Gambon']",Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes,Michael Gambon
8960,33,"['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head', 'Eddie Marsan']",Will Smith,Charlize Theron,Jason Bateman,Jae Head,Eddie Marsan
6479,13,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield', 'Willow Smith']",Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield,Willow Smith
118,32,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'AnnaSophia Robb', 'Julia Winter']",Johnny Depp,Freddie Highmore,David Kelly,AnnaSophia Robb,Julia Winter
2062,23,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn']",Patton Oswalt,Ian Holm,Lou Romano,Brian Dennehy,Peter Sohn
272,113,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']",Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman
10527,42,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer', 'Chris Rock', 'Cedric the Entertainer']",Ben Stiller,Jada Pinkett Smith,David Schwimmer,Chris Rock,Cedric the Entertainer
18360,42,"['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Robin Williams']",Ben Stiller,Amy Adams,Owen Wilson,Hank Azaria,Robin Williams
2080,63,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Lynn Collins', 'Ryan Reynolds']",Hugh Jackman,Liev Schreiber,Danny Huston,Lynn Collins,Ryan Reynolds
605,22,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Mary Alice']",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Mary Alice
109445,56,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']",Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Santino Fontana
604,74,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne', 'Hugo Weaving', 'Helmut Bakaitis']",Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Hugo Weaving,Helmut Bakaitis
76338,43,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Christopher Eccleston']",Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Christopher Eccleston
76341,60,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman']",Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman
13448,47,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino']",Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,Pierfrancesco Favino
10195,32,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård']",Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård
13053,16,"['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton', 'Malcolm McDowell']",John Travolta,Miley Cyrus,Susie Essman,Mark Walton,Malcolm McDowell
19585,21,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan', 'Jon Favreau', 'Steve Buscemi']",Sam Rockwell,Penélope Cruz,Tracy Morgan,Jon Favreau,Steve Buscemi
57165,18,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Edgar Ramírez', 'Toby Kebbell']",Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramírez,Toby Kebbell
62213,25,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Jackie Earle Haley', 'Jonny Lee Miller']",Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Jackie Earle Haley,Jonny Lee Miller
177677,75,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg', 'Jeremy Renner', 'Ving Rhames']",Tom Cruise,Rebecca Ferguson,Simon Pegg,Jeremy Renner,Ving Rhames
